% 1. Title: Leap Data Database
%
% 2. Sources :
% (a)Creator : Giulio Marin, Fabio Dominio, Pietro Zanuttigh, and Binghamton SRI 2016
% (b)Date : Summer 2016
%
@RELATION gesture

@ATTRIBUTE numFingers  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f1  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f2  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f3  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f4  NUMERIC
@ATTRIBUTE newFingerTipDistRefined_f5  NUMERIC
@ATTRIBUTE fingertipAngles_f1   NUMERIC
@ATTRIBUTE fingertipAngles_f2   NUMERIC
@ATTRIBUTE fingertipAngles_f3   NUMERIC
@ATTRIBUTE fingertipAngles_f4   NUMERIC
@ATTRIBUTE fingertipAngles_f5   NUMERIC
@ATTRIBUTE fingertipElevation_f1   NUMERIC
@ATTRIBUTE fingertipElevation_f2   NUMERIC
@ATTRIBUTE fingertipElevation_f3   NUMERIC
@ATTRIBUTE fingertipElevation_f4   NUMERIC
@ATTRIBUTE fingertipElevation_f5   NUMERIC
@ATTRIBUTE fingersExtended   NUMERIC
@ATTRIBUTE fingersAreasAverage   NUMERIC
@ATTRIBUTE ratio   NUMERIC
@ATTRIBUTE class { G1, G2, G3, G4, G5, G6, G7, G8, G9, G0 }

@DATA
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,0.000000,G1
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,00000,0.000000,0.000000,G1
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.403860,0.000000,0.000000,0.000000,0.000000,1.912381,0.000000,0.000000,0.000000,0.000000,01000,0.000000,66.588852,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.411633,0.000000,0.000000,0.000000,0.000000,1.671975,0.000000,0.000000,0.000000,0.000000,01000,0.000000,53.340897,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.208065,0.000000,0.000000,0.000000,0.000000,1.214615,0.000000,0.000000,0.000000,0.000000,01000,0.000000,58.146217,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.470673,0.000000,0.000000,0.000000,0.000000,1.612290,0.000000,0.000000,0.000000,0.000000,01000,0.000000,58.660477,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.404884,0.000000,0.000000,0.000000,0.000000,1.685631,0.000000,0.000000,0.000000,0.000000,01000,0.000000,54.570793,G2
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.496159,0.000000,0.000000,0.000000,0.000000,2.043992,0.000000,0.000000,0.000000,0.000000,00001,0.000000,47.966728,G3
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.055702,0.000000,0.000000,0.000000,0.000000,1.063863,0.000000,0.000000,0.000000,0.000000,00001,0.000000,46.668472,G3
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.010568,0.000000,0.000000,0.000000,0.000000,1.010018,0.000000,0.000000,0.000000,0.000000,00001,0.000000,45.647591,G3
1,1.000000,0.000000,0.000000,0.000000,0.000000,0.963861,0.000000,0.000000,0.000000,0.000000,0.977866,0.000000,0.000000,0.000000,0.000000,00001,0.000000,45.025436,G3
1,1.000000,0.000000,0.000000,0.000000,0.000000,1.101189,0.000000,0.000000,0.000000,0.000000,1.097612,0.000000,0.000000,0.000000,0.000000,00001,0.000000,39.847862,G3
2,1.285248,1.328124,0.000000,0.000000,0.000000,1.063383,2.317212,0.000000,0.000000,0.000000,2.091358,3.172606,0.000000,0.000000,0.000000,11000,68.188004,0.455427,G4
2,1.306594,1.324976,0.000000,0.000000,0.000000,1.074526,2.157832,0.000000,0.000000,0.000000,2.095470,3.067291,0.000000,0.000000,0.000000,11000,67.394966,0.358751,G4
2,1.340631,1.323163,0.000000,0.000000,0.000000,0.962536,2.184056,0.000000,0.000000,0.000000,1.836804,2.901429,0.000000,0.000000,0.000000,11000,70.022766,0.348925,G4
2,1.325685,1.335649,0.000000,0.000000,0.000000,0.900124,2.224050,0.000000,0.000000,0.000000,1.599070,2.712909,0.000000,0.000000,0.000000,11000,70.141396,0.331567,G4
2,1.329296,1.279378,0.000000,0.000000,0.000000,0.839468,2.285600,0.000000,0.000000,0.000000,1.486551,2.625944,0.000000,0.000000,0.000000,11000,69.903465,0.286844,G4
2,0.714570,1.442115,0.000000,0.000000,0.000000,1.157943,1.543402,0.000000,0.000000,0.000000,0.784398,1.642517,0.000000,0.000000,0.000000,01100,29.297781,10.654990,G5
2,0.755912,1.428053,0.000000,0.000000,0.000000,1.209326,1.533474,0.000000,0.000000,0.000000,0.871840,1.656862,0.000000,0.000000,0.000000,01100,32.783596,9.217573,G5
2,0.756684,1.434325,0.000000,0.000000,0.000000,1.045983,1.418570,0.000000,0.000000,0.000000,0.722083,1.525393,0.000000,0.000000,0.000000,01100,33.486084,6.087689,G5
2,0.744522,1.366116,0.000000,0.000000,0.000000,0.957941,1.229422,0.000000,0.000000,0.000000,0.630919,1.316859,0.000000,0.000000,0.000000,01100,26.783766,10.025125,G5
2,0.736554,1.365955,0.000000,0.000000,0.000000,0.886835,1.135278,0.000000,0.000000,0.000000,0.580184,1.250050,0.000000,0.000000,0.000000,01100,25.785170,7.972088,G5
3,0.819661,1.403560,1.475320,0.000000,0.000000,0.337843,1.023632,1.097195,0.000000,0.000000,0.272343,1.202855,1.319086,0.000000,0.000000,01110,23.350561,4.710365,G6
3,0.727913,1.310030,1.382493,0.000000,0.000000,0.399466,0.992272,1.010313,0.000000,0.000000,0.287393,1.130005,1.242223,0.000000,0.000000,01110,18.749880,2.415819,G6
3,0.755441,1.367996,1.449704,0.000000,0.000000,0.380625,1.084891,1.123371,0.000000,0.000000,0.281606,1.217175,1.316313,0.000000,0.000000,01110,21.122101,76.152122,G6
3,0.712868,1.328528,1.400176,0.000000,0.000000,0.026150,0.487966,0.492347,0.000000,0.000000,0.022797,0.815224,0.910886,0.000000,0.000000,01110,19.179943,11.790751,G6
3,0.730053,1.378423,1.440778,0.000000,0.000000,0.005673,0.568845,0.587428,0.000000,0.000000,0.004792,0.870361,0.965767,0.000000,0.000000,01110,20.583729,22.927521,G6
2,1.779009,1.098986,0.000000,0.000000,0.000000,0.622312,0.322489,0.000000,0.000000,0.000000,1.122465,0.420840,0.000000,0.000000,0.000000,10001,49.640305,0.378284,G7
2,1.870688,1.031145,0.000000,0.000000,0.000000,0.404572,0.159694,0.000000,0.000000,0.000000,0.761728,0.183166,0.000000,0.000000,0.000000,10001,48.053505,0.364232,G7
2,1.600068,0.834689,0.000000,0.000000,0.000000,0.444559,0.202748,0.000000,0.000000,0.000000,0.715412,0.193021,0.000000,0.000000,0.000000,10001,39.389603,0.328485,G7
2,1.605561,0.874322,0.000000,0.000000,0.000000,0.389569,0.155816,0.000000,0.000000,0.000000,0.627216,0.148988,0.000000,0.000000,0.000000,10001,42.033848,0.340285,G7
2,1.674664,0.960128,0.000000,0.000000,0.000000,0.315342,0.226412,0.000000,0.000000,0.000000,0.519912,0.216213,0.000000,0.000000,0.000000,10001,43.403698,0.348571,G7
3,1.493488,1.687380,0.935148,0.000000,0.000000,0.882195,2.437067,0.694678,0.000000,0.000000,1.523364,2.875109,1.032351,0.000000,0.000000,11001,34.470688,0.387069,G8
3,1.445144,1.609846,0.904099,0.000000,0.000000,0.903278,2.061593,0.685792,0.000000,0.000000,1.505623,2.640997,0.995075,0.000000,0.000000,11001,32.104469,0.382934,G8
3,1.530495,1.600445,0.822020,0.000000,0.000000,0.729525,2.045479,0.635715,0.000000,0.000000,1.338684,2.676700,0.972879,0.000000,0.000000,11001,34.923031,0.367067,G8
3,1.491555,1.603178,0.798249,0.000000,0.000000,0.961669,2.080707,0.729256,0.000000,0.000000,1.839535,3.007107,1.330437,0.000000,0.000000,11001,32.241680,0.342181,G8
3,1.528462,1.662568,0.631962,0.000000,0.000000,0.895903,1.984149,0.686182,0.000000,0.000000,1.656310,2.838928,1.141331,0.000000,0.000000,11001,32.681732,0.277828,G8
5,1.292809,1.367094,1.434999,1.333605,1.256410,0.634142,2.216119,2.706017,2.153116,1.376579,0.915894,2.114493,2.261896,2.064702,1.624150,11111,16.039906,0.289896,G9
5,1.321638,1.387361,1.447981,1.363614,1.291037,0.687118,2.127186,2.667657,2.204680,1.396091,1.045025,2.227450,2.402966,2.227074,1.751222,11111,16.636587,0.322694,G9
5,1.350831,1.445260,1.499018,1.423564,1.338535,0.511168,1.975768,3.028087,2.029302,1.195620,0.744324,2.006115,2.197868,1.999713,1.481348,11111,17.382586,0.335375,G9
5,1.264848,1.385407,1.452883,1.375429,1.270007,0.450004,1.978806,2.839804,2.021783,1.183437,0.588318,1.772552,1.925994,1.771210,1.314620,11111,16.478495,0.365850,G9
5,1.168607,1.313177,1.383159,1.290788,1.185596,0.612321,2.113191,2.672895,2.474716,1.448251,0.753648,1.817248,1.957612,1.848353,1.455076,11111,14.534026,0.341967,G9
3,0.777752,1.417816,1.478883,0.000000,0.000000,0.732937,1.652587,2.261231,0.000000,0.000000,0.576335,1.634730,1.805347,0.000000,0.000000,01101,22.197395,0.917377,G0
3,0.765117,1.402633,1.439924,0.000000,0.000000,0.714917,1.571226,2.966163,0.000000,0.000000,0.559917,1.598473,1.806395,0.000000,0.000000,01101,21.964733,0.950845,G0
3,0.731296,1.431890,1.479562,0.000000,0.000000,0.393190,1.272826,2.009094,0.000000,0.000000,0.283011,1.386153,1.571209,0.000000,0.000000,01101,21.060684,0.923739,G0
3,0.783316,1.363525,1.412209,0.000000,0.000000,0.664764,1.687274,2.911919,0.000000,0.000000,0.533191,1.591541,1.766576,0.000000,0.000000,01101,21.996174,0.957624,G0
3,0.699816,1.379208,1.403239,0.000000,0.000000,0.936041,1.501205,2.159943,0.000000,0.000000,0.621826,1.505303,1.661083,0.000000,0.000000,01101,25.688351,0.875164,G0
