A-B-C-D-E-F-G,100
A-B-C-D-E-F,100
A-B-C-D-E-G,100
A-B-C-D-E,100
A-B-C-D-F-G,100
A-B-C-D-F,100
A-B-C-D-G,100
A-B-C-D,100
A-B-C-E-F-G,100
A-B-C-E-F,100
A-B-C-E-G,100
A-B-C-E,100
A-B-C-F-G,100
A-B-C-F,100
A-B-C-G,100
A-B-C,100
A-B-D-E-F-G,100
A-B-D-E-F,100
A-B-D-E-G,100
A-B-D-E,100
A-B-D-F-G,100
A-B-D-F,100
A-B-D-G,100
A-B-D,100
A-B-E-F-G,100
A-B-E-F,100
A-B-E-G,100
A-B-E,100
A-B-F-G,100
A-B-F,100
A-B-G,100
A-B,100
A-C-D-E-F-G,81.2143
A-C-D-E-F,75.0714
A-C-D-E-G,82.2857
A-C-D-E,71.4286
A-C-D-F-G,81.7143
A-C-D-F,75.2857
A-C-D-G,82.5714
A-C-D,69.9286
A-C-E-F-G,75.9286
A-C-E-F,67.8571
A-C-E-G,76.9286
A-C-E,62
A-C-F-G,76.2143
A-C-F,67.1429
A-C-G,77.6429
A-C,58.3571
A-D-E-F-G,80.9286
A-D-E-F,74.0714
A-D-E-G,79.5714
A-D-E,66.7857
A-D-F-G,81.2143
A-D-F,71.1429
A-D-G,79.2857
A-D,63.0714
A-E-F-G,76
A-E-F,64.7143
A-E-G,71.9286
A-E,49.8571
A-F-G,75.9286
A-F,62.0714
A-G,72.3571
A,41.0714
B-C-D-E-F-G,100
B-C-D-E-F,100
B-C-D-E-G,100
B-C-D-E,100
B-C-D-F-G,100
B-C-D-F,100
B-C-D-G,100
B-C-D,100
B-C-E-F-G,100
B-C-E-F,100
B-C-E-G,100
B-C-E,100
B-C-F-G,100
B-C-F,100
B-C-G,100
B-C,100
B-D-E-F-G,100
B-D-E-F,100
B-D-E-G,100
B-D-E,100
B-D-F-G,100
B-D-F,100
B-D-G,100
B-D,100
B-E-F-G,100
B-E-F,100
B-E-G,100
B-E,100
B-F-G,100
B-F,100
B-G,100
B,100
C-D-E-F-G,81.2143
C-D-E-F,74.0714
C-D-E-G,82.2857
C-D-E,63.3571
C-D-F-G,81.7143
C-D-F,74.7143
C-D-G,82.6429
C-D,61.0714
C-E-F-G,75.8571
C-E-F,67.1429
C-E-G,76.7143
C-E,51.7857
C-F-G,76.2143
C-F,66.3571
C-G,77.6429
C,46.7143
D-E-F-G,80.9286
D-E-F,70.5
D-E-G,79.5714
D-E,49
D-F-G,81.2857
D-F,67.7857
D-G,79.4286
D,37.7857
E-F-G,75.9286
E-F,59.7143
E-G,71.8571
E,27.9286
F-G,76
F,54.6429
G,72.4286
